"RN","CLIENTE","CD_ALOCACAO","DATA_HORA_VAZAO","TURNO","DATA_SAIDA_CAMINHAO","DATA_CHEGADA_CAMINHAO","DESCRICAO_TIPO_CARGA","PESO_PADRAO","DISTANCIA","VAZAO_FRENTE"
1,CERRADINHO,632970,2024-10-14 12:01:00.000,MANHA,2024-10-14 12:01:48.000,2024-10-14 14:32:36.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632980,2024-10-14 12:39:00.000,MANHA,2024-10-14 12:40:29.000,2024-10-14 14:34:29.000,RODOTREM PROPRIO,60,28.01,309.23
1,CERRADINHO,632960,2024-10-14 11:27:00.000,MANHA,2024-10-14 11:27:49.000,2024-10-14 14:37:07.000,RODOTREM TERCEIRO,60,31.73,152.94
1,CERRADINHO,632961,2024-10-14 11:29:00.000,MANHA,2024-10-14 11:30:36.000,2024-10-14 14:45:59.000,RODOTREM PROPRIO,60,63.4,133.15
1,CERRADINHO,632927,2024-10-14 08:29:00.000,MANHA,2024-10-14 08:30:50.000,2024-10-14 14:50:21.000,RODOTREM PROPRIO,60,78.42,
1,CERRADINHO,632956,2024-10-14 10:41:00.000,MANHA,2024-10-14 10:42:56.000,2024-10-14 15:04:55.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632974,2024-10-14 12:07:00.000,MANHA,2024-10-14 12:07:06.000,2024-10-14 15:24:51.000,RODOTREM TERCEIRO,60,28.01,303.14
1,CERRADINHO,632950,2024-10-14 10:11:00.000,MANHA,2024-10-14 10:12:42.000,2024-10-14 15:25:06.000,RODOTREM PROPRIO,60,78.42,
1,CERRADINHO,632979,2024-10-14 12:27:00.000,MANHA,2024-10-14 12:28:01.000,2024-10-14 15:30:54.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632959,2024-10-14 11:21:00.000,MANHA,2024-10-14 11:21:30.000,2024-10-14 15:32:24.000,RODOTREM PROPRIO,60,64.16,174.26
1,CERRADINHO,632973,2024-10-14 12:05:00.000,MANHA,2024-10-14 12:06:51.000,2024-10-14 15:40:25.000,RODOTREM TERCEIRO,60,63.4,162.86
